63,null,null,1900 Dauphin Road,Ottawa,4,0,4,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui
64,631,Bruff Park,250 Lorry Greenberg Drive,Ottawa,2,0,2,no/non,no/non,yes/oui,yes/oui,no/non,no/non
65,543,Kaladar Park,2554 Kaladar Avenue,Ottawa,2,0,2,no/non,no/non,yes/oui,yes/oui,no/non,no/non
66,null,null,2381 Ogilvie Road,Gloucester,7,0,7,yes/oui,no/non,yes/oui,yes/oui,no/non,no/non
67,843,Kinsella Park,1600 Prestwick Drive,Cumberland,4,0,4,yes/oui,yes/oui,yes/oui,yes/oui,no/non,no/non
68,2540,Howard A. Maguire Park,560 Parade Drive,null,1,0,1,no/non,no/non,yes/oui,yes/oui,no/non,no/non
69,1323,Longleaf Park,5831 Gladewoods Place,Gloucester,2,0,2,yes/oui,no/non,yes/oui,yes/oui,no/non,yes/oui
70,null,null,1349 Randal Avenue,Ottawa,2,0,2,no/non,no/non,no/non,yes/oui,no/non,no/non
71,2507,Guinness Park,120 Ramsgrange Street,null,2,0,2,no/non,no/non,yes/oui,yes/oui,no/non,no/non
72,2553,Devonian Park,171 Escarpment Crescent,Kanata,1,0,1,no/non,no/non,yes/oui,yes/oui,no/non,no/non
73,120,Elizabeth Manley Park,1161 Blohm Drive,Ottawa,2,0,2,no/non,no/non,yes/oui,yes/oui,no/non,no/non
74,1122,Uplands Park,3165 Uplands Drive,Ottawa,2,0,2,no/non,no/non,yes/oui,yes/oui,no/non,no/non
75,385,Fairmont Park,265 Fairmont Avenue,Ottawa,2,0,2,no/non,no/non,yes/oui,yes/oui,no/non,no/non
76,150,Bordeleau Park,349 Bruyere Street,Ottawa,2,0,2,no/non,no/non,yes/oui,yes/oui,no/non,no/non
77,1186,Windsor Park Ottawa,1B Windsor Avenue,Ottawa,4,0,4,no/non,no/non,no/non,yes/oui,no/non,no/non
78,1109,Pinecrest Recreation Complex and Park,2250 Torquay Avenue,Ottawa,4,0,4,no/non,no/non,yes/oui,yes/oui,no/non,no/non
79,2389,Half Moon Bay Park,3525 Cambrian Road,Nepean,2,0,2,yes/oui,no/non,no/non,yes/oui,no/non,no/non
80,2488,Greely Village Park,7292 Parkway Road,Osgoode,2,0,2,yes/oui,no/non,no/non,yes/oui,no/non,no/non
81,456,Greenlawn Park,1145 Greenlawn Crescent,Ottawa,2,0,2,no/non,no/non,yes/oui,yes/oui,no/non,no/non
82,438,Jim Malone Park,400 Goldridge Drive,Kanata,1,0,1,yes/oui,no/non,no/non,yes/oui,no/non,no/non
83,2599,Eugene Martineau Park,710 Mikinak Road,Ottawa,2,0,2,yes/oui,no/non,yes/oui,no/non,no/non,no/non
84,506,Richmond Lions Community Park,3302 Huntley Road,Goulbourn,2,0,2,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui
85,990,Windsor Park Gloucester,3560 Wyman Place,Gloucester,1,0,1,no/non,no/non,yes/oui,yes/oui,no/non,no/non
86,1111,Trappers Park,3580 Trapper's Road,Gloucester,1,0,1,no/non,no/non,yes/oui,yes/oui,no/non,no/non
87,484,Kemp Park,11 Robert Kemp Street,Gloucester,1,0,1,no/non,no/non,yes/oui,yes/oui,no/non,yes/oui
88,10,Aladdin Park,3939 Albion Road,Gloucester,2,0,2,yes/oui,no/non,yes/oui,yes/oui,no/non,no/non
89,48,Cecil Morrison Park,1332 Avenue N,Ottawa,1,0,1,no/non,no/non,no/non,yes/oui,no/non,no/non
90,101,Trend-Arlington Park,50 Bellman Drive,Nepean,4,0,4,yes/oui,yes/oui,yes/oui,yes/oui,yes/oui,yes/oui
91,107,Bilberry Park,6600 Bilberry Drive,Gloucester,2,0,2,no/non,no/non,yes/oui,yes/oui,no/non,no/non
92,132,Manor Park,100 Braemar Street,Ottawa,2,0,2,no/non,no/non,yes/oui,yes/oui,no/non,no/non
93,235,Cattail Creek Park,38 Chimo Drive,Kanata,2,0,2,no/non,no/non,no/non,yes/oui,no/non,no/non
94,267,Navan Centennial Park,1279 Colonial Road,Cumberland,2,0,2,no/non,no/non,yes/oui,yes/oui,no/non,no/non
95,330,Centennial Park,5572 Doctor Leach Drive,Rideau,6,0,6,yes/oui,yes/oui,yes/oui,yes/oui,no/non,no/non
96,343,Queenswood Heights Centennial Park and Community Centre,1485 Duford Drive,Cumberland,3,0,3,yes/oui,no/non,yes/oui,yes/oui,no/non,no/non
97,377,Elmridge Park,1841 Elmridge Drive,Gloucester,4,0,4,yes/oui,yes/oui,no/non,yes/oui,no/non,no/non
98,415,St. Luke's Park,166 Frank Street,Ottawa,2,0,2,yes/oui,no/non,yes/oui,yes/oui,no/non,no/non
99,449,Craig Henry Park,135 Craig Henry Drive,Nepean,8,0,8,yes/oui,yes/oui,yes/oui,yes/oui,yes/oui,yes/oui
100,495,Fisher Park,250 Holland Avenue,Ottawa,6,0,6,yes/oui,yes/oui,no/non,yes/oui,no/non,no/non
101,591,Marsha Park,855 Lawnsberry Drive,Cumberland,2,0,2,yes/oui,no/non,no/non,yes/oui,no/non,no/non
102,613,Lexington Park,1404 Lexington Street,Ottawa,2,0,2,no/non,no/non,yes/oui,yes/oui,no/non,no/non
103,653,Osgoode Community Centre,5660 Osgoode Main Street,Osgoode,2,0,2,yes/oui,no/non,yes/oui,yes/oui,no/non,no/non
104,963,Davidson Park,5 Ryerson Avenue,Nepean,2,0,2,yes/oui,no/non,yes/oui,yes/oui,no/non,no/non
105,964,Sieveright Park,2999 Sable Ridge Drive,Gloucester,2,0,2,yes/oui,no/non,yes/oui,yes/oui,no/non,no/non
106,1021,Sheffield Glen Park,2320 Southvale Crescent,Ottawa,2,0,2,no/non,no/non,no/non,yes/oui,no/non,no/non
107,1053,Pierre Rocque Park,1257 Joseph Drouin Avenue,Gloucester,2,0,2,yes/oui,no/non,yes/oui,yes/oui,no/non,no/non
108,1056,New Edinburgh Park,193 Stanley Avenue,Ottawa,2,0,2,no/non,no/non,yes/oui,yes/oui,no/non,yes/oui
109,1080,Lynwood Park,7 Sycamore Drive,Nepean,4,0,4,yes/oui,yes/oui,no/non,yes/oui,no/non,yes/oui
110,2633,Rouncey Park,590 Rouncey Road,null,2,0,2,yes/oui,no/non,no/non,yes/oui,no/non,no/non
