117   0130   Ottawa       Owl Park                                                      215 Owl Drive                                       4    0    4        Y        N        Y        Y        N        N
118   0970   Cumberland   Yves Chenier Park                                             3585 Sarsfield Road                                 2    0    2        Y        N        N        Y        N        N
119   1573   Ottawa       Dr. John Hopps Park                                           300 Den Haag Drive                                  2    0    2        Y        N        N        Y        N        N
120   0037   Ottawa       Canterbury Park                                               2185 Arch Street                                    2    0    2        N        N        Y        Y        N        N
121   0675   Gloucester   Carson Grove Park                                             1423 Matheson Road                                  2    0    2        Y        N        Y        Y        N        Y
122   0831   Ottawa       Playfair Park                                                 1801 Playfair Drive                                 2    0    2        N        N        Y        Y        N        N
123   1160   Goulbourn    Alexander Grove Park                                          10 Warner Colpitts Lane                             3    0    3        Y        N        N        Y        Y        Y
124   1511   Cumberland   Valin Park and South Fallingbrook Community Centre            998 Valin Street                                    3    0    3        Y        N        Y        Y        N        N
125   1801   Kanata       Walden Park                                                   130 Walden Drive                                    1    0    1        Y        Y        Y        Y        N        N
126   2499   Gloucester   Summerhill Park                                               560 Summerhill Street                               2    0    2        Y        N        N        Y        N        N
127   0942   Ottawa       Lindenlea Park                                                15 Rockcliffe Way                                   3    0    3        N        N        Y        Y        N        N
128   1191   Nepean       Medhurst Park                                                 72 Medhurst Drive                                   0    0    0        N        N        N        N        Y        N
129   0468   Ottawa       Arnott Park                                                   691 Hartman Crescent                                2    0    2        N        N        N        Y        N        N
130   0023   Ottawa       Dale Park                                                     1590 Alta Vista Drive                               2    0    2        N        N        Y        Y        N        N
